Gene	logFC	pAdj	Compartment	Cell Type
RPL39	3.63E-01	3.23E-13	Peripheral blood	Quiescent
RPL28	3.93E-01	3.28E-13	Peripheral blood	Quiescent
RPL11	4.53E-01	3.56E-13	Peripheral blood	Quiescent
RPL27	3.39E-01	4.00E-13	Peripheral blood	Quiescent
TCF7	3.73E-01	4.05E-13	Peripheral blood	Quiescent
RP11.415F23.2	4.99E-01	5.53E-13	Peripheral blood	Quiescent
AC005944.2	4.02E-01	1.64E-12	Peripheral blood	Quiescent
RPL9	2.85E-01	1.80E-12	Peripheral blood	Quiescent
NELL2	5.30E-01	2.10E-12	Peripheral blood	Quiescent
CD27	3.79E-01	9.01E-12	Peripheral blood	Quiescent
RPS20	3.03E-01	1.13E-11	Peripheral blood	Quiescent
CTD.2031P19.5	2.70E-01	1.39E-11	Peripheral blood	Quiescent
RPL38	4.09E-01	1.39E-11	Peripheral blood	Quiescent
RPL10A	3.15E-01	1.53E-11	Peripheral blood	Quiescent
LRRC75A.AS1	4.46E-01	2.57E-11	Peripheral blood	Quiescent
FOXP1	3.25E-01	2.75E-11	Peripheral blood	Quiescent
S1PR1	5.11E-01	3.03E-11	Peripheral blood	Quiescent
RPL26	3.76E-01	3.69E-11	Peripheral blood	Quiescent
RPS15A	3.75E-01	6.71E-11	Peripheral blood	Quiescent
RACK1	4.12E-01	7.37E-11	Peripheral blood	Quiescent
RASGRP2	3.59E-01	1.32E-10	Peripheral blood	Quiescent
RPLP2	3.16E-01	1.32E-10	Peripheral blood	Quiescent
LRRC75A	4.33E-01	1.38E-10	Peripheral blood	Quiescent
TXNIP	3.87E-01	1.58E-10	Peripheral blood	Quiescent
PRKCA	5.04E-01	2.38E-10	Peripheral blood	Quiescent
EIF4B	3.07E-01	2.43E-10	Peripheral blood	Quiescent
RPL36	2.82E-01	3.66E-10	Peripheral blood	Quiescent
RPS27A	2.80E-01	5.51E-10	Peripheral blood	Quiescent
LDLRAP1	4.77E-01	5.52E-10	Peripheral blood	Quiescent
C1orf162	5.86E-01	1.04E-09	Peripheral blood	Quiescent
PIK3IP1	4.53E-01	2.67E-09	Peripheral blood	Quiescent
DENND5A	3.80E-01	2.82E-09	Peripheral blood	Quiescent
ADTRP	5.80E-01	5.46E-09	Peripheral blood	Quiescent
RPL18	3.29E-01	8.19E-09	Peripheral blood	Quiescent
RP4.635E18.8	3.91E-01	1.35E-08	Peripheral blood	Quiescent
RP11.252A24.7	3.79E-01	1.42E-08	Peripheral blood	Quiescent
RP11.458N5.1	3.88E-01	2.18E-08	Peripheral blood	Quiescent
GAS5	4.47E-01	2.20E-08	Peripheral blood	Quiescent
MAL	6.51E-01	2.91E-08	Peripheral blood	Quiescent
IL7R	2.85E-01	4.34E-08	Peripheral blood	Quiescent
RPS23	3.36E-01	7.98E-08	Peripheral blood	Quiescent
RPL8	2.64E-01	3.56E-07	Peripheral blood	Quiescent
PRKCQ.AS1	5.01E-01	3.81E-07	Peripheral blood	Quiescent
RPS9	3.11E-01	4.72E-07	Peripheral blood	Quiescent
NPM1	2.53E-01	7.45E-07	Peripheral blood	Quiescent
TCEA3	4.72E-01	9.23E-07	Peripheral blood	Quiescent
LINC01089	4.09E-01	9.79E-07	Peripheral blood	Quiescent
PRMT2	3.40E-01	1.12E-06	Peripheral blood	Quiescent
PFDN5	3.34E-01	1.18E-06	Peripheral blood	Quiescent
RPL37	3.65E-01	1.53E-06	Peripheral blood	Quiescent
S100A8	5.75E-01	1.86E-06	Peripheral blood	Quiescent
RPLP0	2.62E-01	2.04E-06	Peripheral blood	Quiescent
RPL12	3.16E-01	2.10E-06	Peripheral blood	Quiescent
FCN1	2.91E-01	2.36E-06	Peripheral blood	Quiescent
PCED1B	5.26E-01	2.38E-06	Peripheral blood	Quiescent
RPL29	3.11E-01	2.58E-06	Peripheral blood	Quiescent
SVIL	3.91E-01	4.87E-06	Peripheral blood	Quiescent
EEF1D	2.92E-01	5.91E-06	Peripheral blood	Quiescent
SATB1	3.90E-01	1.14E-05	Peripheral blood	Quiescent
ADD3	3.22E-01	1.60E-05	Peripheral blood	Quiescent
GIMAP4	3.17E-01	2.26E-05	Peripheral blood	Quiescent
GLTSCR2	3.43E-01	2.58E-05	Peripheral blood	Quiescent
SNORA12.2	3.27E-01	2.65E-05	Peripheral blood	Quiescent
RP11.434H6.7	4.19E-01	5.27E-05	Peripheral blood	Quiescent
CSF3R	2.53E-01	5.63E-05	Peripheral blood	Quiescent
RASA3	4.09E-01	7.03E-05	Peripheral blood	Quiescent
RPL7A	2.97E-01	9.90E-05	Peripheral blood	Quiescent
ZNF516	3.29E-01	1.20E-04	Peripheral blood	Quiescent
SUSD3	3.53E-01	3.48E-04	Peripheral blood	Quiescent
RPS4Y1	4.42E-01	4.10E-04	Peripheral blood	Quiescent
RPS4X	2.59E-01	4.95E-04	Peripheral blood	Quiescent
ITGB2.AS1	2.82E-01	5.50E-04	Peripheral blood	Quiescent
SDK2	2.67E-01	5.71E-04	Peripheral blood	Quiescent
IL16	2.61E-01	6.35E-04	Peripheral blood	Quiescent
LYZ	5.78E-01	8.54E-04	Peripheral blood	Quiescent
RPS5	3.08E-01	8.55E-04	Peripheral blood	Quiescent
RPARP.AS1	3.44E-01	8.77E-04	Peripheral blood	Quiescent
RPL35A	3.01E-01	1.00E-03	Peripheral blood	Quiescent
TXK	3.42E-01	1.03E-03	Peripheral blood	Quiescent
DSEL	4.16E-01	2.31E-03	Peripheral blood	Quiescent
S100A9	6.25E-01	2.32E-03	Peripheral blood	Quiescent
SLC40A1	2.75E-01	4.04E-03	Peripheral blood	Quiescent
MORC2	3.33E-01	4.93E-03	Peripheral blood	Quiescent
SRSF5	3.26E-01	5.69E-03	Peripheral blood	Quiescent
BTF3	2.87E-01	5.80E-03	Peripheral blood	Quiescent
PCMTD2	2.96E-01	6.22E-03	Peripheral blood	Quiescent
TESPA1	3.02E-01	7.20E-03	Peripheral blood	Quiescent
SORL1	3.19E-01	1.07E-02	Peripheral blood	Quiescent
POLR3E	2.65E-01	1.11E-02	Peripheral blood	Quiescent
VCAN	2.53E-01	1.15E-02	Peripheral blood	Quiescent
C10orf95	3.27E-01	1.34E-02	Peripheral blood	Quiescent
RPL22	2.75E-01	1.50E-02	Peripheral blood	Quiescent
ACTN1	2.98E-01	1.70E-02	Peripheral blood	Quiescent
PIAS2	3.47E-01	2.25E-02	Peripheral blood	Quiescent
EXOSC8	3.22E-01	2.48E-02	Peripheral blood	Quiescent
BEX3	4.61E-01	2.52E-02	Peripheral blood	Quiescent
SNHG8	4.14E-01	2.70E-02	Peripheral blood	Quiescent
EIF3L	2.74E-01	3.56E-02	Peripheral blood	Quiescent
FCGRT	3.21E-01	4.16E-02	Peripheral blood	Quiescent
REG1B	1.84E+00	5.02E-94	Intestinal mucosa	REG1A/1B
REG1A	2.11E+00	3.79E-89	Intestinal mucosa	REG1A/1B
PIGR	1.88E+00	6.63E-83	Intestinal mucosa	REG1A/1B
ANPEP	8.31E-01	2.25E-81	Intestinal mucosa	REG1A/1B
DMBT1	9.04E-01	1.06E-76	Intestinal mucosa	REG1A/1B
APOA1	8.54E-01	9.13E-70	Intestinal mucosa	REG1A/1B
APOC3	5.28E-01	1.40E-68	Intestinal mucosa	REG1A/1B
PHGR1	7.82E-01	4.47E-57	Intestinal mucosa	REG1A/1B
ALDOB	1.17E+00	1.55E-54	Intestinal mucosa	REG1A/1B
SLC15A1	6.94E-01	1.22E-52	Intestinal mucosa	REG1A/1B
FABP1	1.02E+00	5.46E-50	Intestinal mucosa	REG1A/1B
IFI27	3.57E-01	3.94E-37	Intestinal mucosa	REG1A/1B
FABP6	3.47E-01	8.22E-37	Intestinal mucosa	REG1A/1B
FABP2	5.56E-01	1.69E-30	Intestinal mucosa	REG1A/1B
KRT19	3.51E-01	2.18E-29	Intestinal mucosa	REG1A/1B
LGALS4	4.02E-01	2.97E-29	Intestinal mucosa	REG1A/1B
SELENOP	1.08E+00	3.48E-29	Intestinal mucosa	REG1A/1B
EPCAM	3.57E-01	8.27E-26	Intestinal mucosa	REG1A/1B
TSPAN8	5.32E-01	1.21E-25	Intestinal mucosa	REG1A/1B
MUC13	3.14E-01	6.08E-25	Intestinal mucosa	REG1A/1B
APOB	3.70E-01	7.86E-24	Intestinal mucosa	REG1A/1B
RARRES1	2.71E-01	2.02E-23	Intestinal mucosa	REG1A/1B
LGALS3BP	4.42E-01	8.21E-19	Intestinal mucosa	REG1A/1B
HLA.DRA	1.09E+00	1.88E-17	Intestinal mucosa	REG1A/1B
SMIM24	6.08E-01	4.88E-17	Intestinal mucosa	REG1A/1B
SPINK1	5.47E-01	3.82E-14	Intestinal mucosa	REG1A/1B
KRT8	3.29E-01	5.06E-14	Intestinal mucosa	REG1A/1B
TFF3	2.89E-01	3.91E-13	Intestinal mucosa	REG1A/1B
HNF4A	3.23E-01	1.43E-12	Intestinal mucosa	REG1A/1B
AGR2	2.71E-01	1.90E-12	Intestinal mucosa	REG1A/1B
GOLIM4	2.80E-01	5.38E-12	Intestinal mucosa	REG1A/1B
KRT18	2.63E-01	8.39E-11	Intestinal mucosa	REG1A/1B
SLC6A19	2.66E-01	2.33E-10	Intestinal mucosa	REG1A/1B
HLA.DRB1	5.80E-01	2.24E-09	Intestinal mucosa	REG1A/1B
CCDC152	3.27E-01	2.65E-08	Intestinal mucosa	REG1A/1B
ATP1B1	3.74E-01	3.38E-08	Intestinal mucosa	REG1A/1B
IGHA1	2.63E+00	1.89E-06	Intestinal mucosa	REG1A/1B
CD74	4.92E-01	4.24E-06	Intestinal mucosa	REG1A/1B
LGALS3	5.32E-01	4.52E-06	Intestinal mucosa	REG1A/1B
ALDH2	3.23E-01	1.13E-05	Intestinal mucosa	REG1A/1B
TSPAN3	7.87E-01	2.07E-05	Intestinal mucosa	REG1A/1B
OAT	4.68E-01	3.09E-05	Intestinal mucosa	REG1A/1B
JCHAIN	2.85E+00	4.19E-05	Intestinal mucosa	REG1A/1B
IGHG1	2.50E-01	8.06E-05	Intestinal mucosa	REG1A/1B
GCNT3	3.26E-01	8.95E-05	Intestinal mucosa	REG1A/1B
MS4A10	4.80E-01	1.38E-04	Intestinal mucosa	REG1A/1B
CST3	9.40E-01	1.48E-04	Intestinal mucosa	REG1A/1B
HLA.DPA1	3.73E-01	6.53E-04	Intestinal mucosa	REG1A/1B
ACO2	3.07E-01	2.06E-03	Intestinal mucosa	REG1A/1B
IGKC	1.70E+00	2.22E-03	Intestinal mucosa	REG1A/1B
CTSD	7.31E-01	2.28E-03	Intestinal mucosa	REG1A/1B
TM9SF3	3.32E-01	2.68E-03	Intestinal mucosa	REG1A/1B
IGHA2	1.86E+00	3.12E-03	Intestinal mucosa	REG1A/1B
DDAH1	3.12E-01	3.37E-03	Intestinal mucosa	REG1A/1B
RNF24	1.84E+00	4.40E-03	Intestinal mucosa	REG1A/1B
ENAM	2.07E+00	4.78E-03	Intestinal mucosa	REG1A/1B
STK17B	5.04E-01	1.02E-02	Intestinal mucosa	REG1A/1B
IGLC2	1.23E+00	1.09E-02	Intestinal mucosa	REG1A/1B
MUC2	2.75E-01	1.14E-02	Intestinal mucosa	REG1A/1B
TAPBP	5.61E-01	1.88E-02	Intestinal mucosa	REG1A/1B
ECHS1	6.72E-01	2.22E-02	Intestinal mucosa	REG1A/1B
OLFM4	4.49E-01	4.22E-02	Intestinal mucosa	REG1A/1B
RASGEF1B	2.44E+00	4.33E-294	Intestinal mucosa	Th17
RGS1	2.55E+00	1.69E-247	Intestinal mucosa	Th17
CD69	2.36E+00	1.04E-244	Intestinal mucosa	Th17
TNFAIP3	2.28E+00	4.02E-237	Intestinal mucosa	Th17
DUSP2	2.33E+00	4.67E-186	Intestinal mucosa	Th17
DNAJB1	2.22E+00	2.19E-184	Intestinal mucosa	Th17
MIR24.2	1.89E+00	1.40E-150	Intestinal mucosa	Th17
NR4A2	1.93E+00	4.10E-143	Intestinal mucosa	Th17
YPEL5	1.73E+00	5.60E-142	Intestinal mucosa	Th17
FAM46C	1.68E+00	2.10E-106	Intestinal mucosa	Th17
PTGER4	1.67E+00	1.15E-96	Intestinal mucosa	Th17
SIK1	9.65E-01	8.05E-93	Intestinal mucosa	Th17
CYTIP	1.16E+00	1.35E-85	Intestinal mucosa	Th17
CXCR4	1.53E+00	6.82E-79	Intestinal mucosa	Th17
SLC2A3	1.49E+00	1.73E-78	Intestinal mucosa	Th17
HSP90AA1	1.33E+00	5.06E-76	Intestinal mucosa	Th17
PHLDA1	1.63E+00	3.02E-75	Intestinal mucosa	Th17
CREM	1.33E+00	4.48E-73	Intestinal mucosa	Th17
PFKFB3	1.26E+00	5.93E-63	Intestinal mucosa	Th17
RGS2	1.69E+00	8.00E-61	Intestinal mucosa	Th17
ZNF331	1.51E+00	2.32E-60	Intestinal mucosa	Th17
DUSP5	7.63E-01	4.76E-57	Intestinal mucosa	Th17
TSC22D3	1.23E+00	9.20E-56	Intestinal mucosa	Th17
CLEC2D	7.86E-01	2.29E-55	Intestinal mucosa	Th17
SELENOK	1.28E+00	9.48E-55	Intestinal mucosa	Th17
CLK1	8.28E-01	3.30E-50	Intestinal mucosa	Th17
DUSP4	1.18E+00	1.29E-48	Intestinal mucosa	Th17
CSRNP1	1.14E+00	1.89E-45	Intestinal mucosa	Th17
PPP1CB	7.14E-01	4.04E-45	Intestinal mucosa	Th17
PABPC1	8.12E-01	5.78E-44	Intestinal mucosa	Th17
SRGN	8.04E-01	2.30E-43	Intestinal mucosa	Th17
HNRNPLL	9.31E-01	9.65E-43	Intestinal mucosa	Th17
SPRY1	1.39E+00	1.27E-42	Intestinal mucosa	Th17
HSPH1	1.12E+00	2.29E-39	Intestinal mucosa	Th17
KLF6	9.43E-01	1.80E-37	Intestinal mucosa	Th17
BIRC3	1.23E+00	1.98E-37	Intestinal mucosa	Th17
FTH1	7.55E-01	3.01E-37	Intestinal mucosa	Th17
PER1	8.30E-01	8.37E-37	Intestinal mucosa	Th17
MPZL3	1.05E+00	7.70E-35	Intestinal mucosa	Th17
THBS1	6.66E-01	9.88E-34	Intestinal mucosa	Th17
KDM6B	7.36E-01	3.01E-33	Intestinal mucosa	Th17
MORF4L2	7.79E-01	5.98E-33	Intestinal mucosa	Th17
ETF1	7.92E-01	2.71E-32	Intestinal mucosa	Th17
DNAJA1	1.14E+00	7.72E-31	Intestinal mucosa	Th17
CDKN1A	8.15E-01	2.44E-30	Intestinal mucosa	Th17
DNAJA4	1.24E+00	6.98E-30	Intestinal mucosa	Th17
DUSP10	5.10E-01	1.84E-29	Intestinal mucosa	Th17
PDE4D	1.04E+00	2.66E-29	Intestinal mucosa	Th17
CD96	1.07E+00	6.39E-28	Intestinal mucosa	Th17
LDLRAD4	1.20E+00	1.35E-27	Intestinal mucosa	Th17
USP36	9.61E-01	5.33E-27	Intestinal mucosa	Th17
STN1	7.47E-01	7.24E-27	Intestinal mucosa	Th17
RANBP2	6.00E-01	2.00E-26	Intestinal mucosa	Th17
ABCA1	9.81E-01	2.35E-26	Intestinal mucosa	Th17
SNORD99	6.28E-01	8.66E-26	Intestinal mucosa	Th17
KMT2E	6.81E-01	1.33E-25	Intestinal mucosa	Th17
ZFP36L2	7.49E-01	1.82E-25	Intestinal mucosa	Th17
ZNF250	6.73E-01	2.30E-25	Intestinal mucosa	Th17
ZSWIM4	4.11E-01	2.35E-25	Intestinal mucosa	Th17
CCNH	8.71E-01	1.97E-24	Intestinal mucosa	Th17
BCAS2	1.00E+00	4.49E-24	Intestinal mucosa	Th17
VMP1	6.84E-01	1.55E-23	Intestinal mucosa	Th17
EML4	8.37E-01	8.40E-23	Intestinal mucosa	Th17
MAPK1IP1L	6.59E-01	1.43E-22	Intestinal mucosa	Th17
ASB2	7.19E-01	5.20E-22	Intestinal mucosa	Th17
CCL20	7.56E-01	5.46E-22	Intestinal mucosa	Th17
PMAIP1	8.42E-01	6.61E-22	Intestinal mucosa	Th17
IL22	1.00E+00	4.75E-21	Intestinal mucosa	Th17
NAMPT	3.24E-01	1.07E-20	Intestinal mucosa	Th17
SAT1	8.17E-01	2.65E-20	Intestinal mucosa	Th17
SDCBP	9.11E-01	4.94E-20	Intestinal mucosa	Th17
RP11.138A9.2	6.81E-01	2.82E-19	Intestinal mucosa	Th17
AC008440.5	2.64E-01	3.08E-19	Intestinal mucosa	Th17
IRF2BP2	7.69E-01	3.36E-19	Intestinal mucosa	Th17
SNHG16	7.47E-01	4.81E-19	Intestinal mucosa	Th17
CD55	7.44E-01	1.47E-18	Intestinal mucosa	Th17
ARL5B	7.57E-01	3.02E-18	Intestinal mucosa	Th17
ADAM19	5.04E-01	1.48E-17	Intestinal mucosa	Th17
RPL21	5.67E-01	2.37E-17	Intestinal mucosa	Th17
PTP4A1	8.26E-01	5.76E-17	Intestinal mucosa	Th17
MBOAT1	6.35E-01	1.28E-16	Intestinal mucosa	Th17
MAP3K8	8.01E-01	2.02E-16	Intestinal mucosa	Th17
YWHAZ	4.16E-01	7.91E-16	Intestinal mucosa	Th17
EZR	5.74E-01	1.14E-15	Intestinal mucosa	Th17
FMNL3	5.78E-01	2.05E-15	Intestinal mucosa	Th17
IFRD1	7.10E-01	3.02E-15	Intestinal mucosa	Th17
PDCD4	4.13E-01	3.12E-15	Intestinal mucosa	Th17
CCL5	4.99E-01	4.01E-15	Intestinal mucosa	Th17
HSP90AB1	7.36E-01	1.22E-14	Intestinal mucosa	Th17
ICOS	8.82E-01	2.59E-14	Intestinal mucosa	Th17
PRMT9	8.69E-01	5.56E-14	Intestinal mucosa	Th17
STAT1	6.65E-01	2.33E-13	Intestinal mucosa	Th17
PIM3	7.52E-01	3.22E-13	Intestinal mucosa	Th17
PPP1R15B	5.32E-01	4.10E-12	Intestinal mucosa	Th17
IL17A	1.04E+00	1.10E-11	Intestinal mucosa	Th17
VPS37B	4.82E-01	1.29E-11	Intestinal mucosa	Th17
HSPE1	9.28E-01	1.33E-11	Intestinal mucosa	Th17
IRF4	5.31E-01	2.02E-11	Intestinal mucosa	Th17
RORA	6.06E-01	2.80E-11	Intestinal mucosa	Th17
NFE2L2	7.10E-01	3.08E-11	Intestinal mucosa	Th17
IFNG	7.86E-01	5.22E-11	Intestinal mucosa	Th17
HLA.J	3.67E-01	6.82E-11	Intestinal mucosa	Th17
HSPA8	5.68E-01	8.03E-11	Intestinal mucosa	Th17
TSPYL1	4.34E-01	8.10E-11	Intestinal mucosa	Th17
AHSA1	3.97E-01	1.21E-10	Intestinal mucosa	Th17
NUP98	4.89E-01	1.43E-10	Intestinal mucosa	Th17
SRSF3	4.46E-01	1.91E-10	Intestinal mucosa	Th17
CHD1	6.84E-01	2.29E-10	Intestinal mucosa	Th17
LINC.PINT	4.89E-01	3.95E-10	Intestinal mucosa	Th17
RP11.631M6.2	3.95E-01	1.55E-09	Intestinal mucosa	Th17
ANKHD1	6.47E-01	1.71E-09	Intestinal mucosa	Th17
SNHG12	2.86E-01	3.06E-09	Intestinal mucosa	Th17
CLDND1	6.63E-01	1.45E-08	Intestinal mucosa	Th17
TSC22D2	4.38E-01	2.21E-08	Intestinal mucosa	Th17
ISG15	6.10E-01	2.42E-08	Intestinal mucosa	Th17
PTPN22	4.53E-01	3.13E-08	Intestinal mucosa	Th17
TP53INP1	5.00E-01	1.56E-07	Intestinal mucosa	Th17
CHD2	5.33E-01	1.87E-07	Intestinal mucosa	Th17
HES4	3.99E-01	1.99E-07	Intestinal mucosa	Th17
RP11.138A9.1	5.05E-01	2.49E-07	Intestinal mucosa	Th17
GNL3	5.16E-01	2.71E-07	Intestinal mucosa	Th17
AC092580.4	4.92E-01	3.48E-07	Intestinal mucosa	Th17
DNAJB4	4.84E-01	4.24E-07	Intestinal mucosa	Th17
GFPT2	3.76E-01	4.30E-07	Intestinal mucosa	Th17
TIPARP	7.20E-01	4.66E-07	Intestinal mucosa	Th17
DHX36	4.05E-01	6.87E-07	Intestinal mucosa	Th17
CYCS	8.36E-01	7.24E-07	Intestinal mucosa	Th17
PTGES3	5.18E-01	9.72E-07	Intestinal mucosa	Th17
STRN3	4.36E-01	3.24E-06	Intestinal mucosa	Th17
LRRC1	4.00E-01	4.56E-06	Intestinal mucosa	Th17
PTBP2	3.99E-01	6.32E-06	Intestinal mucosa	Th17
UBE2B	3.62E-01	6.48E-06	Intestinal mucosa	Th17
ARHGEF7	4.56E-01	7.35E-06	Intestinal mucosa	Th17
RP11.727F15.9	5.28E-01	7.46E-06	Intestinal mucosa	Th17
RHOH	4.87E-01	7.91E-06	Intestinal mucosa	Th17
LDLR	4.20E-01	8.22E-06	Intestinal mucosa	Th17
ZBTB10	4.10E-01	9.07E-06	Intestinal mucosa	Th17
CTB.131B5.2	3.62E-01	9.32E-06	Intestinal mucosa	Th17
H3F3B	4.60E-01	9.46E-06	Intestinal mucosa	Th17
DEFA5	2.99E-01	1.04E-05	Intestinal mucosa	Th17
TANK	4.51E-01	1.06E-05	Intestinal mucosa	Th17
ERN1	5.39E-01	1.32E-05	Intestinal mucosa	Th17
ZBTB25	4.18E-01	1.56E-05	Intestinal mucosa	Th17
HECA	5.08E-01	1.56E-05	Intestinal mucosa	Th17
NOP58	3.89E-01	1.58E-05	Intestinal mucosa	Th17
NASP	3.57E-01	2.40E-05	Intestinal mucosa	Th17
GPR34	5.99E-01	2.73E-05	Intestinal mucosa	Th17
DOCK11	4.54E-01	2.83E-05	Intestinal mucosa	Th17
SYTL3	7.15E-01	2.99E-05	Intestinal mucosa	Th17
RP11.297H3.3	6.31E-01	3.56E-05	Intestinal mucosa	Th17
CCL4	9.08E-01	3.66E-05	Intestinal mucosa	Th17
TSPYL2	7.38E-01	3.93E-05	Intestinal mucosa	Th17
WDR74	3.58E-01	5.73E-05	Intestinal mucosa	Th17
CHMP1B	5.35E-01	6.03E-05	Intestinal mucosa	Th17
STRAP	4.98E-01	7.87E-05	Intestinal mucosa	Th17
OSTF1	3.75E-01	9.02E-05	Intestinal mucosa	Th17
CTD.2636A23.2	2.54E-01	1.43E-04	Intestinal mucosa	Th17
LZTFL1	3.36E-01	1.60E-04	Intestinal mucosa	Th17
KLRB1	5.69E-01	2.27E-04	Intestinal mucosa	Th17
SH2D2A	5.69E-01	2.63E-04	Intestinal mucosa	Th17
SHISA2	4.90E-01	2.78E-04	Intestinal mucosa	Th17
DDX3X	3.11E-01	2.81E-04	Intestinal mucosa	Th17
HSPA6	4.77E-01	3.12E-04	Intestinal mucosa	Th17
STIP1	4.22E-01	3.50E-04	Intestinal mucosa	Th17
PIK3R1	7.36E-01	3.53E-04	Intestinal mucosa	Th17
ETV3	4.55E-01	4.25E-04	Intestinal mucosa	Th17
ZNF267	4.35E-01	4.54E-04	Intestinal mucosa	Th17
UBB	4.68E-01	6.99E-04	Intestinal mucosa	Th17
CFAP20	6.38E-01	8.83E-04	Intestinal mucosa	Th17
G3BP2	4.94E-01	9.43E-04	Intestinal mucosa	Th17
ZC3H12A	5.09E-01	9.88E-04	Intestinal mucosa	Th17
ITGA1	7.52E-01	1.24E-03	Intestinal mucosa	Th17
RP3.370M22.8	4.11E-01	1.26E-03	Intestinal mucosa	Th17
PPP3CA	3.55E-01	1.69E-03	Intestinal mucosa	Th17
AUTS2	3.08E-01	1.73E-03	Intestinal mucosa	Th17
SOCS1	6.59E-01	1.78E-03	Intestinal mucosa	Th17
CEBPZ	2.89E-01	2.43E-03	Intestinal mucosa	Th17
REL	3.88E-01	4.08E-03	Intestinal mucosa	Th17
FAM177A1	5.57E-01	4.57E-03	Intestinal mucosa	Th17
TAGAP	5.94E-01	6.05E-03	Intestinal mucosa	Th17
RNF19A	3.25E-01	9.96E-03	Intestinal mucosa	Th17
GABARAPL1	3.19E-01	1.02E-02	Intestinal mucosa	Th17
NABP1	2.73E-01	1.16E-02	Intestinal mucosa	Th17
GALK2	4.63E-01	1.18E-02	Intestinal mucosa	Th17
BTG3	5.26E-01	1.40E-02	Intestinal mucosa	Th17
COCH	2.63E-01	1.64E-02	Intestinal mucosa	Th17
ZFP36L1	3.82E-01	2.02E-02	Intestinal mucosa	Th17
DCTN6	3.41E-01	2.20E-02	Intestinal mucosa	Th17
PAPOLA	5.16E-01	2.39E-02	Intestinal mucosa	Th17
IL2	3.81E-01	2.59E-02	Intestinal mucosa	Th17
ZC3H12D	3.08E-01	2.74E-02	Intestinal mucosa	Th17
KPNA2	4.57E-01	3.42E-02	Intestinal mucosa	Th17
GPR35	2.99E-01	3.68E-02	Intestinal mucosa	Th17
ARL4D	4.03E-01	4.22E-02	Intestinal mucosa	Th17
NUP58	4.79E-01	4.40E-02	Intestinal mucosa	Th17
S100A4	6.18E-01	3.44E-67	Peripheral blood	Effector/Treg
LTB	7.50E-01	6.76E-62	Peripheral blood	Effector/Treg
TOB1	5.29E-01	8.63E-45	Peripheral blood	Effector/Treg
C16orf54	3.13E-01	7.21E-43	Peripheral blood	Effector/Treg
CD52	4.09E-01	2.02E-41	Peripheral blood	Effector/Treg
IL32	3.94E-01	2.07E-39	Peripheral blood	Effector/Treg
TMSB10	3.63E-01	3.36E-36	Peripheral blood	Effector/Treg
EMP3	2.58E-01	2.64E-33	Peripheral blood	Effector/Treg
TNFRSF25	3.83E-01	2.37E-29	Peripheral blood	Effector/Treg
RAP2B	3.64E-01	2.35E-28	Peripheral blood	Effector/Treg
RASSF3	2.66E-01	2.52E-28	Peripheral blood	Effector/Treg
S100A11	4.07E-01	4.78E-25	Peripheral blood	Effector/Treg
PRDM1	3.98E-01	1.43E-24	Peripheral blood	Effector/Treg
CALM1	2.96E-01	1.48E-24	Peripheral blood	Effector/Treg
RPL13A	3.30E-01	6.10E-24	Peripheral blood	Effector/Treg
TTC39C	2.73E-01	9.43E-23	Peripheral blood	Effector/Treg
RUNX2	6.60E-01	8.29E-22	Peripheral blood	Effector/Treg
ADAM19	3.99E-01	1.67E-21	Peripheral blood	Effector/Treg
FAM65B	3.16E-01	2.22E-21	Peripheral blood	Effector/Treg
SH3BGRL3	3.48E-01	1.02E-19	Peripheral blood	Effector/Treg
AES	2.73E-01	1.75E-18	Peripheral blood	Effector/Treg
TTC39C.AS1	4.49E-01	1.21E-17	Peripheral blood	Effector/Treg
FLNA	4.53E-01	6.53E-17	Peripheral blood	Effector/Treg
FUT7	3.14E-01	2.06E-16	Peripheral blood	Effector/Treg
SOCS2	6.58E-01	2.85E-16	Peripheral blood	Effector/Treg
PIM1	5.37E-01	2.92E-16	Peripheral blood	Effector/Treg
MORC2.AS1	3.79E-01	3.47E-16	Peripheral blood	Effector/Treg
PSME1	2.80E-01	1.42E-15	Peripheral blood	Effector/Treg
MORC2	4.93E-01	8.75E-15	Peripheral blood	Effector/Treg
TESPA1	3.74E-01	1.36E-14	Peripheral blood	Effector/Treg
RPL5	2.80E-01	6.17E-14	Peripheral blood	Effector/Treg
PCED1B.AS1	2.70E-01	9.66E-14	Peripheral blood	Effector/Treg
PLP2	5.98E-01	1.38E-13	Peripheral blood	Effector/Treg
PTPN13	4.66E-01	1.47E-13	Peripheral blood	Effector/Treg
CMTM6	4.78E-01	1.93E-13	Peripheral blood	Effector/Treg
S1PR1	4.97E-01	2.43E-13	Peripheral blood	Effector/Treg
RPLP0	2.57E-01	2.75E-13	Peripheral blood	Effector/Treg
TNFRSF4	4.85E-01	8.03E-13	Peripheral blood	Effector/Treg
ANXA2	4.32E-01	9.76E-13	Peripheral blood	Effector/Treg
S100A10	5.28E-01	1.29E-12	Peripheral blood	Effector/Treg
CTSH	5.95E-01	1.98E-12	Peripheral blood	Effector/Treg
P2RY8	4.81E-01	2.34E-12	Peripheral blood	Effector/Treg
BIN2	4.23E-01	4.11E-12	Peripheral blood	Effector/Treg
C21orf33	2.61E-01	4.25E-12	Peripheral blood	Effector/Treg
